Country_encoded,EdLevel_encoded,YearsCodePro,Employment_encoded,Salary
151,2,2.0,0,70000.0
149,0,6.0,0,54289.0
99,2,3.0,0,59454.0
151,3,6.0,0,160000.0
131,2,4.0,0,14268.0
149,2,2.0,0,73678.0
149,0,5.0,0,41363.0
149,0,2.0,0,7390.0
144,0,3.0,0,657.0
50,0,15.0,0,118908.0
98,0,10.0,0,5256.0
39,3,6.0,0,66000.0
151,0,7.0,0,74000.0
149,0,4.0,0,563052.0
151,0,8.0,0,170000.0
64,0,3.0,0,25656.0
28,0,3.0,0,41597.0
151,1,10.0,0,115000.0
28,0,19.0,0,79413.0
151,0,38.0,0,170000.0
151,0,2.0,0,2000000.0
149,2,6.0,0,96945.0
35,1,10.0,2,194580.0
154,1,2.0,2,3600.0
50,0,22.0,0,64859.0
151,1,7.0,0,100000.0
151,1,34.0,0,115000.0
22,0,3.0,0,4500.0
66,2,25.0,2,151337.0
28,1,7.0,0,45379.0
28,0,8.0,0,71850.0
151,0,10.0,0,250000.0
91,3,10.0,0,25860.0
151,0,20.0,0,180000.0
151,0,18.0,0,1260000.0
95,3,6.0,0,21312.0
151,0,14.0,0,125000.0
105,0,0.5,0,58803.0
151,1,4.0,0,105000.0
151,2,7.0,0,165000.0
50,2,5.0,2,51887.0
151,0,24.0,0,130000.0
124,3,19.0,0,150000.0
151,0,4.0,0,61949.0
151,0,0.5,0,72000.0
149,1,1.0,0,23913.0
149,2,19.0,0,64630.0
151,0,1.0,0,138061.0
54,1,12.0,0,30148.0
22,2,14.0,0,24744.0
149,1,20.0,2,64630.0
36,3,5.0,0,20784.0
151,0,5.0,0,110000.0
151,1,21.0,2,60000.0
151,0,5.0,0,135000.0
151,1,15.0,0,65000.0
137,0,2.0,0,2328.0
8,1,29.0,0,81074.0
50,2,6.0,0,86478.0
62,2,5.0,0,34904.0
151,0,1.0,0,60000.0
151,0,4.0,0,93000.0
151,0,26.0,0,170000.0
149,0,25.0,2,124089.0
33,1,20.0,2,120000.0
151,0,1.0,0,82000.0
151,3,10.0,2,0.0
151,0,3.0,0,89000.0
28,2,3.0,0,58992.0
151,0,15.0,0,160000.0
68,1,7.0,0,63036.0
151,2,2.0,0,71000.0
69,1,4.0,0,27025.0
151,0,5.0,0,105000.0
151,1,6.0,0,85000.0
151,0,6.0,0,66000.0
50,2,10.0,0,75669.0
33,2,11.0,2,53700.0
50,2,10.0,0,59454.0
66,3,3.0,0,109179.0
42,0,4.0,0,6156.0
149,3,23.0,2,1000000.0
28,0,9.0,0,68068.0
91,0,2.0,0,16164.0
151,2,8.0,0,185000.0
91,0,8.0,0,20688.0
151,1,10.0,0,108655.0
151,0,20.0,0,170000.0
151,2,15.0,0,125000.0
149,0,7.0,0,37744.0
151,0,2.0,0,90000.0
12,0,3.0,2,5652.0
151,0,4.0,0,125000.0
